session_id,variant,dataset,round,client_id,train_loss,num_examples,training_time_s,active_classes,cpu_percent,ram_used_mb,cpu_temp_c
baseline_20260624_184127,baseline,UCIHAR,1,0,0.04556150396207446,1254,173.0,6,91.4,1010.6,53.6
baseline_20260624_184127,baseline,UCIHAR,1,1,0.051893212273716925,684,35.85,6,85.7,1009.6,62.8
baseline_20260624_184127,baseline,UCIHAR,1,2,0.032876656483858825,666,35.87,6,86.2,1013.1,65.2
baseline_20260624_184127,baseline,UCIHAR,1,3,0.04876037589697675,738,42.43,6,76.3,959.6,62.3
baseline_20260624_184127,baseline,UCIHAR,1,4,0.044174794839429,936,49.89,6,88.5,1003.4,66.2
baseline_20260624_184127,baseline,UCIHAR,1,5,0.02759173550293781,1038,59.29,6,82.6,937.8,68.2
baseline_20260624_184127,baseline,UCIHAR,1,6,0.024723589742699496,864,48.26,6,83.5,962.0,65.7
baseline_20260624_184127,baseline,UCIHAR,1,7,0.02965815895451949,894,48.01,6,88.2,960.3,65.2
baseline_20260624_184127,baseline,UCIHAR,2,0,0.045007527462745965,1254,171.67,6,94.1,1011.4,55.0
baseline_20260624_184127,baseline,UCIHAR,2,1,0.0385672359727323,684,35.54,6,90.2,1011.3,66.2
baseline_20260624_184127,baseline,UCIHAR,2,2,0.03716867752373219,666,35.55,6,90.3,1018.1,67.2
baseline_20260624_184127,baseline,UCIHAR,2,3,0.03684654882685705,738,41.01,6,89.4,957.4,63.8
baseline_20260624_184127,baseline,UCIHAR,2,4,0.04962882326383676,936,49.61,6,91.7,999.2,69.6
baseline_20260624_184127,baseline,UCIHAR,2,5,0.0464204181189416,1038,59.11,6,92.0,960.4,69.1
baseline_20260624_184127,baseline,UCIHAR,2,6,0.036248104503521554,864,48.12,6,91.1,965.9,66.2
baseline_20260624_184127,baseline,UCIHAR,2,7,0.04765446924676116,894,47.79,6,91.3,959.8,67.2
baseline_20260624_184127,baseline,UCIHAR,2,8,0.05449292975078736,954,51.76,6,84.7,960.1,66.7
baseline_20260624_184127,baseline,UCIHAR,2,9,0.03814164445234033,834,46.36,6,80.9,966.0,64.3
baseline_20260624_184127,baseline,UCIHAR,3,0,0.04080056185883127,1254,172.55,6,94.2,1009.7,55.5
baseline_20260624_184127,baseline,UCIHAR,3,1,0.042570683266967536,684,35.45,6,90.3,1008.2,66.2
baseline_20260624_184127,baseline,UCIHAR,3,2,0.04250686406157911,666,35.87,6,89.3,1017.8,69.1
baseline_20260624_184127,baseline,UCIHAR,3,3,0.043349443934857845,738,40.64,6,90.4,961.1,65.2
baseline_20260624_184127,baseline,UCIHAR,3,4,0.03262159374675581,936,49.63,6,91.8,1001.3,71.1
baseline_20260624_184127,baseline,UCIHAR,3,5,0.04435663110052701,1038,58.77,6,92.0,975.6,70.1
baseline_20260624_184127,baseline,UCIHAR,3,6,0.032188034132839397,864,47.94,6,90.5,981.1,66.7
baseline_20260624_184127,baseline,UCIHAR,3,7,0.04667281445402365,894,47.75,6,91.3,969.1,68.7
baseline_20260624_184127,baseline,UCIHAR,3,8,0.03833484939033432,954,51.38,6,91.6,962.7,68.2
baseline_20260624_184127,baseline,UCIHAR,3,9,0.03683056513993786,834,46.31,6,91.5,968.2,65.7
baseline_20260624_184127,baseline,UCIHAR,4,0,0.0411477687057892,1254,174.32,6,93.9,1008.7,56.5
baseline_20260624_184127,baseline,UCIHAR,4,1,0.03496345160529017,684,35.84,6,89.1,1010.1,67.2
baseline_20260624_184127,baseline,UCIHAR,4,2,0.05112692080438137,666,35.49,6,90.2,1015.4,67.7
baseline_20260624_184127,baseline,UCIHAR,4,3,0.04332467320967804,738,40.67,6,90.5,959.8,66.7
baseline_20260624_184127,baseline,UCIHAR,4,4,0.04114850404273186,936,49.47,6,91.8,1008.9,73.0
baseline_20260624_184127,baseline,UCIHAR,4,5,0.03766591857129242,1038,58.77,6,91.6,986.7,71.1
baseline_20260624_184127,baseline,UCIHAR,4,6,0.034431007117606126,864,47.65,6,91.3,997.2,67.2
baseline_20260624_184127,baseline,UCIHAR,4,7,0.0360846513380798,894,47.66,6,91.3,966.1,69.6
baseline_20260624_184127,baseline,UCIHAR,4,8,0.03679380565881729,954,51.39,6,90.9,959.9,69.1
baseline_20260624_184127,baseline,UCIHAR,4,9,0.0360696089024154,834,46.29,6,91.3,966.3,65.7
baseline_20260624_184127,baseline,UCIHAR,5,0,0.04172586528339276,1254,173.53,6,94.2,1011.2,55.0
baseline_20260624_184127,baseline,UCIHAR,5,1,0.04164264383725822,684,35.49,6,90.2,1015.4,67.7
baseline_20260624_184127,baseline,UCIHAR,5,2,0.039164986950345336,666,35.54,6,90.2,1018.3,67.2
baseline_20260624_184127,baseline,UCIHAR,5,3,0.028894525169479577,738,40.21,6,90.6,979.8,65.7
baseline_20260624_184127,baseline,UCIHAR,5,4,0.041661664111805816,936,50.17,6,90.6,1005.1,72.5
baseline_20260624_184127,baseline,UCIHAR,5,5,0.039258973687537946,1038,57.92,6,90.6,984.3,70.6
baseline_20260624_184127,baseline,UCIHAR,5,6,0.03987364067087093,864,47.71,6,91.3,991.8,67.2
baseline_20260624_184127,baseline,UCIHAR,5,7,0.04607709889443448,894,47.39,6,91.2,981.2,68.7
baseline_20260624_184127,baseline,UCIHAR,5,8,0.03732512252671378,954,51.39,6,91.6,968.5,68.2
baseline_20260624_184127,baseline,UCIHAR,5,9,0.04634322992597635,834,46.08,6,91.5,963.9,66.7
baseline_20260624_184127,baseline,UCIHAR,6,0,0.0390776920034305,1254,172.92,6,93.8,994.3,57.0
baseline_20260624_184127,baseline,UCIHAR,6,1,0.0356392165645957,684,35.5,6,90.2,1018.1,67.2
baseline_20260624_184127,baseline,UCIHAR,6,2,0.03984753475524485,666,35.72,6,89.6,1019.2,69.1
baseline_20260624_184127,baseline,UCIHAR,6,3,0.026484093353660268,738,39.42,6,90.5,987.6,65.7
baseline_20260624_184127,baseline,UCIHAR,6,4,0.040065706275137405,936,49.99,6,91.0,1007.3,71.6
baseline_20260624_184127,baseline,UCIHAR,6,5,0.04052704750210978,1038,59.2,6,90.8,986.7,71.1
baseline_20260624_184127,baseline,UCIHAR,6,6,0.029678278477289356,864,47.93,6,90.5,994.8,67.2
baseline_20260624_184127,baseline,UCIHAR,6,7,0.027287545076643046,894,47.61,6,91.3,984.1,69.6
baseline_20260624_184127,baseline,UCIHAR,6,8,0.04169155916731272,954,51.59,6,91.0,958.3,68.7
baseline_20260624_184127,baseline,UCIHAR,6,9,0.03340020657588656,834,46.06,6,91.4,959.8,66.2
baseline_20260624_184127,baseline,UCIHAR,7,0,0.04711719884194041,1254,174.63,6,93.4,1016.5,56.0
baseline_20260624_184127,baseline,UCIHAR,7,1,0.04640866387635469,684,35.59,6,89.7,1012.1,66.7
baseline_20260624_184127,baseline,UCIHAR,7,2,0.03496152614243329,666,35.56,6,90.1,1015.5,69.1
baseline_20260624_184127,baseline,UCIHAR,7,3,0.03636754266071049,738,39.41,6,90.2,959.7,67.2
baseline_20260624_184127,baseline,UCIHAR,7,4,0.03498213245932545,936,49.7,6,91.8,1005.9,73.0
baseline_20260624_184127,baseline,UCIHAR,7,5,0.041810630362306256,1038,58.65,6,91.9,979.7,71.1
baseline_20260624_184127,baseline,UCIHAR,7,6,0.03028580782791743,864,47.7,6,91.2,992.0,68.2
baseline_20260624_184127,baseline,UCIHAR,7,7,0.04431502893567085,894,47.44,6,91.0,983.2,69.6
baseline_20260624_184127,baseline,UCIHAR,7,8,0.03353793699560421,954,51.52,6,91.5,965.6,69.6
baseline_20260624_184127,baseline,UCIHAR,7,9,0.026698675212593607,834,46.4,6,90.4,964.4,65.7
baseline_20260624_184127,baseline,UCIHAR,8,0,0.0365642111650423,1254,172.91,6,94.0,1013.6,56.0
baseline_20260624_184127,baseline,UCIHAR,8,1,0.03589699845761061,684,35.43,6,90.2,1012.6,67.2
baseline_20260624_184127,baseline,UCIHAR,8,2,0.03442013396415859,666,35.46,6,90.1,1016.7,68.2
baseline_20260624_184127,baseline,UCIHAR,8,3,0.03841872818090699,738,40.51,6,90.3,958.6,67.2
baseline_20260624_184127,baseline,UCIHAR,8,4,0.04149035384346332,936,49.94,6,91.4,1010.5,73.5
baseline_20260624_184127,baseline,UCIHAR,8,5,0.02591157415008638,1038,58.55,6,92.0,989.9,71.6
baseline_20260624_184127,baseline,UCIHAR,8,6,0.03422786005271169,864,47.26,6,90.1,995.3,67.2
baseline_20260624_184127,baseline,UCIHAR,8,7,0.026149546029046178,894,47.72,6,91.4,990.7,69.1
baseline_20260624_184127,baseline,UCIHAR,8,8,0.04648670155022826,954,50.91,6,91.4,965.0,69.6
baseline_20260624_184127,baseline,UCIHAR,8,9,0.03162712111281088,834,46.32,6,91.3,963.7,67.2
baseline_20260624_184127,baseline,UCIHAR,9,0,0.02857491385044628,1254,174.5,6,93.3,1000.2,56.0
baseline_20260624_184127,baseline,UCIHAR,9,1,0.041143938340246676,684,35.58,6,90.2,1014.0,68.2
baseline_20260624_184127,baseline,UCIHAR,9,2,0.048265342810191215,666,35.47,6,90.1,1019.0,68.7
baseline_20260624_184127,baseline,UCIHAR,9,3,0.031190705527974802,738,40.09,6,90.5,976.3,66.7
baseline_20260624_184127,baseline,UCIHAR,9,4,0.035855340638331006,936,49.73,6,91.4,1010.7,73.0
baseline_20260624_184127,baseline,UCIHAR,9,5,0.029357521241763607,1038,58.29,6,92.0,987.7,71.6
baseline_20260624_184127,baseline,UCIHAR,9,6,0.0332860138374739,864,47.11,6,91.1,993.2,68.2
baseline_20260624_184127,baseline,UCIHAR,9,7,0.04201370875279491,894,46.63,6,91.0,986.0,69.1
baseline_20260624_184127,baseline,UCIHAR,9,8,0.028004343954047987,954,50.63,6,91.2,966.3,70.1
baseline_20260624_184127,baseline,UCIHAR,9,9,0.024577215287046365,834,46.12,6,90.6,967.8,67.2
baseline_20260624_184127,baseline,UCIHAR,10,0,0.03160924061299547,1254,174.72,6,93.7,1010.3,57.0
baseline_20260624_184127,baseline,UCIHAR,10,1,0.04142473828978836,684,35.44,6,90.3,1013.3,67.7
baseline_20260624_184127,baseline,UCIHAR,10,2,0.012527561560273171,666,35.51,6,90.2,1021.2,69.1
baseline_20260624_184127,baseline,UCIHAR,10,3,0.021596951844086023,738,40.23,6,90.6,975.8,67.7
baseline_20260624_184127,baseline,UCIHAR,10,4,0.04684482741036585,936,50.32,6,90.7,1009.9,72.5
baseline_20260624_184127,baseline,UCIHAR,10,5,0.03399353050917853,1038,59.18,6,90.8,987.4,71.6
baseline_20260624_184127,baseline,UCIHAR,10,6,0.033116328180767596,864,46.75,6,91.1,993.6,68.7
baseline_20260624_184127,baseline,UCIHAR,10,7,0.03340354557328213,894,47.52,6,89.8,984.7,69.1
baseline_20260624_184127,baseline,UCIHAR,10,8,0.04100222819085632,954,50.84,6,91.6,946.8,69.6
baseline_20260624_184127,baseline,UCIHAR,10,9,0.033645671631137915,834,46.25,6,91.0,961.3,66.2
baseline_20260624_202221,baseline,UCIHAR,1,0,0.04333915169301786,1254,175.16,6,93.9,1022.6,57.5
baseline_20260624_202221,baseline,UCIHAR,1,1,0.03667934909462929,684,35.52,6,90.1,1021.6,68.2
baseline_20260624_202221,baseline,UCIHAR,1,2,0.0523572064936161,666,35.45,6,90.2,1023.7,69.1
baseline_20260624_202221,baseline,UCIHAR,1,3,0.04628388888456605,738,40.36,6,90.0,988.2,67.2
baseline_20260624_202221,baseline,UCIHAR,1,4,0.042579448382769315,936,50.26,6,90.6,1005.5,73.5
baseline_20260624_202221,baseline,UCIHAR,1,5,0.04652966486173682,1038,58.72,6,90.7,995.6,71.1
baseline_20260624_202221,baseline,UCIHAR,1,6,0.042517388526063696,864,47.55,6,91.2,995.8,68.2
baseline_20260624_202221,baseline,UCIHAR,1,7,0.03625546033995656,894,46.92,6,91.3,990.9,69.1
baseline_20260624_202221,baseline,UCIHAR,1,8,0.04187206797567861,954,51.34,6,91.5,985.8,69.1
baseline_20260624_202221,baseline,UCIHAR,1,9,0.040710070063001834,834,46.48,6,90.5,965.4,66.7
baseline_20260624_202221,baseline,UCIHAR,2,0,0.04345380779551832,1254,176.67,6,93.4,1017.6,57.0
baseline_20260624_202221,baseline,UCIHAR,2,1,0.059112952277064326,684,36.04,6,89.1,1017.4,67.7
baseline_20260624_202221,baseline,UCIHAR,2,2,0.03911379715427756,666,35.54,6,90.1,1020.3,69.6
baseline_20260624_202221,baseline,UCIHAR,2,3,0.03539080706171014,738,40.23,6,90.6,985.1,67.7
baseline_20260624_202221,baseline,UCIHAR,2,4,0.044740683399140835,936,49.73,6,91.8,1010.9,73.5
baseline_20260624_202221,baseline,UCIHAR,2,5,0.038067506859079,1038,58.65,6,92.0,995.1,72.1
baseline_20260624_202221,baseline,UCIHAR,2,6,0.03885944484947966,864,47.61,6,91.2,993.5,68.7
baseline_20260624_202221,baseline,UCIHAR,2,7,0.03820010838815226,894,46.92,6,91.2,993.5,69.6
baseline_20260624_202221,baseline,UCIHAR,2,8,0.05114300662119474,954,51.46,6,91.5,980.4,70.1
baseline_20260624_202221,baseline,UCIHAR,2,9,0.0350414025865925,834,46.51,6,90.3,961.3,67.2
baseline_20260624_202221,baseline,UCIHAR,3,0,0.027503188797517827,1254,175.34,6,93.7,1024.0,57.5
baseline_20260624_202221,baseline,UCIHAR,3,1,0.02714608134701848,684,35.45,6,90.2,1017.7,68.7
baseline_20260624_202221,baseline,UCIHAR,3,2,0.022132326010614635,666,35.59,6,89.9,1003.7,69.6
baseline_20260624_202221,baseline,UCIHAR,3,3,0.033233412583781916,738,40.25,6,90.6,981.9,67.2
baseline_20260624_202221,baseline,UCIHAR,3,4,0.03840551359046783,936,49.8,6,91.7,1012.6,73.5
baseline_20260624_202221,baseline,UCIHAR,3,5,0.03784944483777508,1038,57.16,6,91.8,994.9,71.6
baseline_20260624_202221,baseline,UCIHAR,3,6,0.04456823974704513,864,47.53,6,91.2,997.1,67.2
baseline_20260624_202221,baseline,UCIHAR,3,7,0.03653326401343712,894,47.51,6,90.4,990.9,69.1
baseline_20260624_202221,baseline,UCIHAR,3,8,0.04483617675889816,954,51.81,6,90.5,984.4,70.1
baseline_20260624_202221,baseline,UCIHAR,3,9,0.03012428366435835,834,45.77,6,91.3,962.7,68.2
baseline_20260624_202221,baseline,UCIHAR,4,0,0.042225155685293045,1254,175.35,6,94.0,1016.7,58.9
baseline_20260624_202221,baseline,UCIHAR,4,1,0.04981353413313627,684,35.55,6,90.3,1014.2,67.7
baseline_20260624_202221,baseline,UCIHAR,4,2,0.038088000798597935,666,35.35,6,90.2,1000.3,69.1
baseline_20260624_202221,baseline,UCIHAR,4,3,0.04830752952363004,738,40.49,6,89.8,982.3,67.2
baseline_20260624_202221,baseline,UCIHAR,4,4,0.045858162987445085,936,49.83,6,91.2,1018.2,73.0
baseline_20260624_202221,baseline,UCIHAR,4,5,0.04498224364942871,1038,57.26,6,91.9,988.8,72.5
baseline_20260624_202221,baseline,UCIHAR,4,6,0.04351356172432693,864,47.61,6,91.2,995.7,69.1
baseline_20260624_202221,baseline,UCIHAR,4,7,0.041748515849646464,894,47.2,6,91.3,994.2,69.6
baseline_20260624_202221,baseline,UCIHAR,4,8,0.03483515668527356,954,51.37,6,91.5,984.2,69.6
baseline_20260624_202221,baseline,UCIHAR,4,9,0.03552779626960938,834,45.61,6,91.3,970.4,67.7
baseline_20260624_202221,baseline,UCIHAR,5,0,0.027425291825478013,1254,175.62,6,93.8,1002.2,57.0
baseline_20260624_202221,baseline,UCIHAR,5,1,0.03709954917430878,684,35.46,6,90.1,1014.5,68.7
baseline_20260624_202221,baseline,UCIHAR,5,2,0.03319248969200998,666,35.33,6,90.1,1022.9,70.1
baseline_20260624_202221,baseline,UCIHAR,5,3,0.037616734456440266,738,40.26,6,90.5,988.0,67.2
baseline_20260624_202221,baseline,UCIHAR,5,4,0.03807173389941454,936,49.57,6,91.7,1008.0,73.5
baseline_20260624_202221,baseline,UCIHAR,5,5,0.03486905219324399,1038,58.53,6,92.0,993.2,71.1
baseline_20260624_202221,baseline,UCIHAR,5,6,0.0334516700464659,864,48.02,6,90.3,996.2,68.2
baseline_20260624_202221,baseline,UCIHAR,5,7,0.04168644221499562,894,47.58,6,91.2,995.1,70.1
baseline_20260624_202221,baseline,UCIHAR,5,8,0.032653451963726966,954,51.8,6,90.7,984.3,70.6
baseline_20260624_202221,baseline,UCIHAR,5,9,0.029556319762307864,834,45.65,6,91.2,968.5,67.7
baseline_20260624_202221,baseline,UCIHAR,6,0,0.03823425738435043,1254,175.31,6,93.9,1014.7,57.5
baseline_20260624_202221,baseline,UCIHAR,6,1,0.04458277272060514,684,35.47,6,90.2,997.3,68.2
baseline_20260624_202221,baseline,UCIHAR,6,2,0.044000698730815205,666,35.92,6,89.2,1001.6,68.7
baseline_20260624_202221,baseline,UCIHAR,6,3,0.04011789992959662,738,40.34,6,90.4,963.7,68.7
baseline_20260624_202221,baseline,UCIHAR,6,4,0.04375690161915762,936,49.53,6,91.8,1014.8,73.5
baseline_20260624_202221,baseline,UCIHAR,6,5,0.03431814223586116,1038,58.27,6,91.9,978.1,72.1
baseline_20260624_202221,baseline,UCIHAR,6,6,0.04150041011878504,864,47.6,6,91.3,1001.7,67.7
baseline_20260624_202221,baseline,UCIHAR,6,7,0.044852898277055755,894,47.57,6,91.3,993.2,68.7
baseline_20260624_202221,baseline,UCIHAR,6,8,0.052144500826086314,954,51.55,6,91.5,987.8,70.1
baseline_20260624_202221,baseline,UCIHAR,6,9,0.038609083383702315,834,46.1,6,91.2,969.6,67.7
baseline_20260624_202221,baseline,UCIHAR,7,0,0.035894924983088126,1254,175.53,6,93.9,1017.7,58.4
baseline_20260624_202221,baseline,UCIHAR,7,1,0.032226597191765904,684,35.56,6,90.2,1003.8,67.7
baseline_20260624_202221,baseline,UCIHAR,7,2,0.03163820572663099,666,35.65,6,90.2,996.1,68.7
baseline_20260624_202221,baseline,UCIHAR,7,3,0.038556215395642954,738,40.22,6,90.5,985.4,67.7
baseline_20260624_202221,baseline,UCIHAR,7,4,0.0426890323869884,936,49.83,6,91.9,1014.3,73.5
baseline_20260624_202221,baseline,UCIHAR,7,5,0.03651928524050163,1038,57.7,6,90.9,991.9,72.1
baseline_20260624_202221,baseline,UCIHAR,7,6,0.04337920667603612,864,47.98,6,90.2,994.9,69.1
baseline_20260624_202221,baseline,UCIHAR,7,7,0.0416976806994241,894,48.04,6,90.4,1000.7,69.6
baseline_20260624_202221,baseline,UCIHAR,7,8,0.04820082935371569,954,51.56,6,91.5,984.9,70.1
baseline_20260624_202221,baseline,UCIHAR,7,9,0.031738416846984856,834,45.54,6,91.5,972.6,67.2
baseline_20260624_202221,baseline,UCIHAR,8,0,0.02909130958448115,1254,176.87,6,93.4,1000.8,57.5
baseline_20260624_202221,baseline,UCIHAR,8,1,0.04489573165774345,684,35.44,6,90.2,1018.3,68.2
baseline_20260624_202221,baseline,UCIHAR,8,2,0.024786776839755477,666,35.53,6,90.2,1021.9,70.6
baseline_20260624_202221,baseline,UCIHAR,8,3,0.024265568089586766,738,40.27,6,90.3,981.7,67.7
baseline_20260624_202221,baseline,UCIHAR,8,4,0.0330777447338083,936,49.77,6,91.7,996.9,74.5
baseline_20260624_202221,baseline,UCIHAR,8,5,0.028492805009591393,1038,58.43,6,92.1,975.9,72.5
baseline_20260624_202221,baseline,UCIHAR,8,6,0.03321350627363874,864,47.39,6,91.3,999.2,68.7
baseline_20260624_202221,baseline,UCIHAR,8,7,0.04861168210537961,894,47.6,6,91.3,991.4,70.6
baseline_20260624_202221,baseline,UCIHAR,8,8,0.05177119660324284,954,51.81,6,90.6,984.6,71.1
baseline_20260624_202221,baseline,UCIHAR,8,9,0.031145429668518212,834,46.33,6,90.3,965.0,68.2
baseline_20260624_202221,baseline,UCIHAR,9,0,0.04066846351825485,1254,174.9,6,94.0,1018.1,57.0
baseline_20260624_202221,baseline,UCIHAR,9,1,0.04153990170452744,684,35.66,6,90.2,1017.3,66.7
baseline_20260624_202221,baseline,UCIHAR,9,2,0.01995014714775607,666,35.48,6,90.3,1022.8,70.6
baseline_20260624_202221,baseline,UCIHAR,9,3,0.0395735878793692,738,40.25,6,90.6,965.8,67.2
baseline_20260624_202221,baseline,UCIHAR,9,4,0.044356512903634994,936,49.79,6,91.8,1014.5,73.5
baseline_20260624_202221,baseline,UCIHAR,9,5,0.04223039111820981,1038,58.74,6,92.0,990.3,71.6
baseline_20260624_202221,baseline,UCIHAR,9,6,0.026632508012251213,864,47.82,6,91.1,990.8,68.2
baseline_20260624_202221,baseline,UCIHAR,9,7,0.045590113920088,894,48.1,6,90.3,993.6,69.1
baseline_20260624_202221,baseline,UCIHAR,9,8,0.04961279972589442,954,51.4,6,91.6,988.6,70.1
baseline_20260624_202221,baseline,UCIHAR,9,9,0.043345360533119395,834,46.3,6,90.4,965.8,68.2
baseline_20260624_202221,baseline,UCIHAR,10,0,0.0360030267559188,1254,174.96,6,93.9,1023.9,57.5
baseline_20260624_202221,baseline,UCIHAR,10,1,0.04460365064442158,684,35.52,6,90.1,1017.7,67.7
baseline_20260624_202221,baseline,UCIHAR,10,2,0.03713704245164991,666,35.57,6,90.0,1023.2,69.6
baseline_20260624_202221,baseline,UCIHAR,10,3,0.02830078078179874,738,40.19,6,90.5,987.4,67.7
baseline_20260624_202221,baseline,UCIHAR,10,4,0.04089228795575244,936,49.65,6,91.7,1015.3,74.0
baseline_20260624_202221,baseline,UCIHAR,10,5,0.035322826632182114,1038,58.6,6,91.9,991.1,72.1
baseline_20260624_202221,baseline,UCIHAR,10,6,0.017916789582858864,864,47.54,6,91.3,1000.8,68.7
baseline_20260624_202221,baseline,UCIHAR,10,7,0.03199538858965612,894,47.66,6,91.3,990.5,70.1
baseline_20260624_202221,baseline,UCIHAR,10,8,0.04469207527914217,954,51.69,6,91.4,985.2,70.1
baseline_20260624_202221,baseline,UCIHAR,10,9,0.034731966246349305,834,45.75,6,91.1,963.7,68.2
baseline_20260624_215747,baseline,UCIHAR,1,0,0.04652682412415743,1254,176.25,6,93.4,1022.5,57.0
baseline_20260624_215747,baseline,UCIHAR,1,1,0.04377339011989534,684,35.44,6,90.3,1018.4,66.2
baseline_20260624_215747,baseline,UCIHAR,1,2,0.036172149190679195,666,35.51,6,90.3,1024.2,66.7
baseline_20260624_215747,baseline,UCIHAR,1,3,0.0502605964853005,738,40.26,6,90.5,990.3,65.2
baseline_20260624_215747,baseline,UCIHAR,1,4,0.0413134024212403,936,49.72,6,91.7,1017.0,71.6
baseline_20260624_215747,baseline,UCIHAR,1,5,0.03946474089752883,1038,58.56,6,92.0,992.9,69.6
baseline_20260624_215747,baseline,UCIHAR,1,6,0.02521521053635157,864,47.72,6,90.9,999.7,66.2
baseline_20260624_215747,baseline,UCIHAR,1,7,0.04213253953135931,894,47.62,6,91.3,998.6,67.7
baseline_20260624_215747,baseline,UCIHAR,1,8,0.03595981314512236,954,51.92,6,90.5,986.2,68.2
baseline_20260624_215747,baseline,UCIHAR,1,9,0.034700159287939854,834,46.08,6,91.3,974.8,65.7
